,id,name,popularity,followers,genre,first_release,last_release,num_releases,num_tracks,monthly_listeners
2,2P3aLwJ41aRYkyFFw2FRM7,sam concepcion,45,168497,opm,2007,2023,20,1,583900.0
6,2FCVB3cfCC0e3O8G7Gs8t6,bleib modern,28,23349,"dark post-punk, modern goth",2014,2024,14,3,40842.0
7,3ZaPFQ05J5qSM5I3Smbp44,tevvez,58,259154,gym hardstyle,2018,2024,20,1,1521671.0
10,71WUmUmWWaqqGtVP8MlPJb,semi.official,4,1050,"abstract hip hop, minnesota hip hop",2003,2003,1,17,820.0
19,38aJccTPkdNbEU7MVQ2n5b,the remus lupins,8,7246,wrock,2007,2009,3,19,1453.0
27,3p3KAZ6zqhFkkH5ZdTuS5X,lunachicks,30,63516,"riot grrrl, underground grunge",1990,2016,7,3,40474.0
29,1ekl5lTa5idAB1Tz04p3Ue,double handsome dragons,0,400,"atmospheric post-rock, british post-rock",2011,2011,1,6,107.0
32,1BCUHvti8crTWtc0h0U4W4,hiro kone,19,10890,"mandible, new isolationism, spectra",2011,2021,7,4,13050.0
34,2iCpXbyRRpN1IMRUkuSyGA,capital monkey,28,23908,"progressive psytrance, psychedelic trance, trance brasileiro",2016,2024,20,1,47809.0
35,1JYo8vxqPyhbdrmBx0UIhh,rauhatäti,3,747,suomirap,2013,2019,7,1,398.0
40,28Ky95tmlHktB96DBUoB0g,tristam,49,215583,"brostep, complextro, dancefloor dnb, edm, filthstep, gaming edm",2012,2021,20,1,646395.0
44,0wwX6lGL0Nwexmp2ht3zmB,mr. freak ska,11,1420,ska catala,2011,2023,8,4,1388.0
46,3RyVfqwQOd0gFnQS0qY8ao,machine men,7,2045,finnish heavy metal,2002,2007,4,5,1314.0
49,357MjItPR9emybXtEL1Trf,soft black,1,485,deep indie pop,2007,2020,7,1,251.0
55,1N9OI91qxIC0TE69T4MPXS,zacks nkosi,4,807,south african jazz,1991,1991,2,6,291.0
59,2P4lgTcDKqHKAttiTQTNyD,nadide sultan,28,9750,deep turkish pop,1997,2023,8,5,101552.0
60,4vqfNLMm3WzJ3t8P33Qfox,dbc,11,54,canadian metal,2017,2017,2,1,442.0
72,5sF5Etprqoh9ufF3ap2eZY,nie und nimmer,43,26854,"german pop, german pop rock, german singer-songwriter",2016,2024,20,1,203542.0
73,5OVvL3uPeojUVPfmizvjPy,noise beat propaganda,0,42,deep latin alternative,2009,2011,2,4,18.0
77,5kuVnXjEL5E1N4C3n7a4wt,ifwhen,1,256,indie shoegaze,2007,2007,1,10,105.0
78,0yyXU4k2jyqhWApBgF837J,grimfaith,0,139,ukrainian metal,2008,2013,2,10,28.0
79,5iISQR00Eel3mcB8eKlsRt,showmore,30,31048,japanese r&b,2018,2023,20,1,39542.0
83,3rY0dedDfgVWcArbhr1Nrh,iris vermillion,13,149,classical mezzo-soprano,1994,2021,20,24,2494.0
88,27Ky8zIC4b1zHCoQ1MP3CT,argonautiks,23,13278,"german alternative rap, german boom bap",2017,2021,19,1,18027.0
89,0zSbNvakUiCGzlvMl7ncaN,farmer nappy,35,49867,soca,2012,2024,20,1,88593.0
91,4pCUgfWM9T1gtC3pRVoVxi,little kirk,21,2111,"deep ragga, old school dancehall",1990,2021,10,2,21074.0
92,0lNiOWJqwipC4Gipr2uYlA,sitoi,4,1298,"finnish hip hop, finnish indie",2018,2024,6,2,520.0
95,2co9mkXKtSPZKzmF8h0fvz,deviation social,0,101,industrial noise,2010,2013,2,7,16.0
96,5XVbIx4guVegIZdtE3QNTa,tropical doom,3,1052,"brazilian stoner rock, metal paranaense, rock catarinense",2015,2016,2,5,650.0
97,0NrO6QCCIuFygHBeEN670A,chick willis,12,652,soul blues,1962,2020,10,2,5543.0
115,2g1JBdfoRR2qV9BZeECeuG,andré heller,30,12110,austropop,1984,2020,12,15,57180.0
